ID,Avg_Annotation,Weighted_Avg_Annotation,Weighted_Avg_Annotation_Good,Weighted_R_HIT,A1,A1_R,A1_R_Good,A2,A2_R,A2_R_Good,A3,A3_R,A3_R_Good,A4,A4_R,A4_R_Good,A5,A5_R,A5_R_Good,A1xR,A1xR_R,A2xR,A2xR_R,A3xR,A3xR_R,A4xR,A4xR_R,A5xR,A5xR_R,True_Label
3255__proceed_2__reconstruction_5,0.6,0.86802128284997648,0.75381066696321231,-0.013780505580095845,2,0.32991455345437587,0.44625018163309388,1,0.31631978673876959,0.42388474976290363,0,-0.18180772224896719,-0.053681666779438461,0,0.26410126616238655,0.41748721141828848,0,0.39604004174259089,0.51236688033655531,0,0.39604004174259089,2,0.32991455345437587,1,0.31631978673876959,0,0.26410126616238655,0,-0.18180772224896719,0
350__output_45__prolific_44,1.6,1.814487792053304,1.6952763516618494,0.27425144644809124,3,0.19256457991767112,0.34510174917708042,2,0.20549357694720016,0.2958143259563748,2,0.3042946828822814,0.47892390824276232,1,0.081475361673534558,0.081475361673534558,0,0.14136161161509794,0.37144125890414881,2,0.3042946828822814,2,0.20549357694720016,3,0.19256457991767112,0,0.14136161161509794,1,0.081475361673534558,2
1127__drawing_18__look_20,0.8,0.66778454768544326,0.76931457058622588,0.086275765309939162,2,0.14136161161509794,0.37144125890414881,1,0.19256457991767112,0.34510174917708042,1,0.31631978673876959,0.42388474976290363,0,0.18963703772855545,0.31217722403624681,0,0.34554062494872229,0.51261064583900906,0,0.34554062494872229,1,0.31631978673876959,1,0.19256457991767112,0,0.18963703772855545,2,0.14136161161509794,0
2435__happen_7__Plan_11,0.4,0.15188481115768943,0.22249147312699305,0.41116052638123468,1,0.0097744610983413124,0.1198479054737102,1,0.19256457991767112,0.34510174917708042,0,0.31631978673876959,0.42388474976290363,0,0.35046375566883575,0.68366481886037533,0,0.46306487807271679,0.51724223115644707,0,0.46306487807271679,0,0.35046375566883575,0,0.31631978673876959,1,0.19256457991767112,1,0.0097744610983413124,1
224__initiate_23__ability_21,1.0,1.0291421865845434,1.1429446556364433,0.1247994466530284,2,0.19256457991767112,0.34510174917708042,1,-0.080026753713099419,-0.080026753713099419,1,0.21941776691706522,0.37596043085676495,1,0.31631978673876959,0.42388474976290363,0,0.16875454150411159,0.16875454150411159,1,0.31631978673876959,1,0.21941776691706522,2,0.19256457991767112,0,0.16875454150411159,1,-0.080026753713099419,0
7644__positive_13__sense_3,0.8,0.87766850070746238,0.87037627935651074,0.14580127012183974,2,0.31631978673876959,0.42388474976290363,1,0.20150133798151659,0.20150133798151659,1,0.22018399009573583,0.24514516892273003,0,0.19917280439161622,0.19917280439161622,0,0.26410126616238655,0.41748721141828848,2,0.31631978673876959,0,0.26410126616238655,1,0.22018399009573583,1,0.20150133798151659,0,0.19917280439161622,0
3248__ecology_28__accommodated_35,0.6,0.67319426609169175,0.6475259936397797,0.18870488550895276,3,0.26410126616238655,0.41748721141828848,0,0.086722575128378318,0.31811583810244842,0,0.20549357694720016,0.2958143259563748,0,0.3042946828822814,0.47892390824276232,0,0.31631978673876959,0.42388474976290363,0,0.31631978673876959,0,0.3042946828822814,3,0.26410126616238655,0,0.20549357694720016,0,0.086722575128378318,0
7795__name_9__fumbled_8,2.4,2.5155482471687529,2.5520573580747081,0.48718743238127354,3,0.31631978673876959,0.42388474976290363,3,0.32991455345437587,0.44625018163309388,3,0.34571925851011442,0.72747568937254503,2,0.36988094784402631,0.48013018175068017,1,0.19125896245035712,0.29031048383720126,2,0.36988094784402631,3,0.34571925851011442,3,0.32991455345437587,3,0.31631978673876959,1,0.19125896245035712,3
414__economies_7__mixed_6,1.2,0.98911944343003033,0.94835223108527389,0.36505686284302452,2,0.19256457991767112,0.34510174917708042,2,0.28140285219523509,0.29285311274193215,2,0.31631978673876959,0.42388474976290363,0,0.35576470695968626,0.45163012989672102,0,0.45190921851949489,0.72586618631129818,0,0.45190921851949489,0,0.35576470695968626,2,0.31631978673876959,2,0.28140285219523509,2,0.19256457991767112,1
3390__life_13__habits_14,1.2,1.08913478587784,1.1464478265436067,0.18813027888499262,2,-0.080026753713099419,-0.080026753713099419,2,0.31631978673876959,0.42388474976290363,1,0.19256457991767112,0.34510174917708042,1,0.21941776691706522,0.37596043085676495,0,0.16389995817465289,0.16389995817465289,2,0.31631978673876959,1,0.21941776691706522,1,0.19256457991767112,0,0.16389995817465289,2,-0.080026753713099419,0
